video_id,text,likes,date,toxicity,month
dUag-RGvDlQ,Ja das können die grünen lügen und betrügen siehe baerbock und ihr Lebenslauf. Wie kann man nur grün wählen unfassbar.,0,2026-03-09 19:51:31+00:00,toxic,2026-03
dUag-RGvDlQ,"Özi brigt den fast gratissrom.
Alle länder wollen blapperstom.
Blapperstom ist dreck billig. Sonne und  wind machen gratis strom.
Bapperstrom alleine geht nicht gas macht strom.
Blapperstom und gas haben deutsche erfunden.
Strom aus gas.
Eiene  supererfindung.
Deutsche sind hoch überägen. Können einfach aus gas strom machen.
Wir kaufen noch atomstrom aus frankreich.
Kann man eine gas/stom maschine bei euch kaufen
Mit gas stom machen wollen alle schon immer.
Deuutsche können mit gas strom machen. 
Alle sagten ihr habt nur blapperstrom sau teuer.",0,2026-03-09 19:23:51+00:00,toxic,2026-03
dUag-RGvDlQ,"Wie meinen Sie, wer tut noch grün wählen😢😢😢",0,2026-03-09 19:22:40+00:00,neutral,2026-03
dUag-RGvDlQ,"Harbeck und Bärbock weg 
Und jetzt  kommt der nächste Grüne so ein Desaster man kann es nicht glauben. Es wird immer schlimmer 😭 😢 😭",0,2026-03-09 18:34:29+00:00,toxic,2026-03
dUag-RGvDlQ,Für die Verlierer ist das IMMER  Wahlbetrug!  Ein Verlierer braucht Anstand und Würde und das hat der Pöbel nicht. 😢😢😢,0,2026-03-09 18:33:00+00:00,toxic,2026-03
dUag-RGvDlQ,WAHLBETRUG WAHLBETRUG WAHLBETRUG,0,2026-03-09 17:46:28+00:00,toxic,2026-03
dUag-RGvDlQ,Die Grünen wo fast keiner will was sie gemacht haben Habeck und Barebock Verbrochen haben in Deutschland und so ein Ergebnis,0,2026-03-09 17:44:33+00:00,toxic,2026-03
dUag-RGvDlQ,Wahlbetrug gibt's nicht in Deutschland. Die oberen habens vielleicht abgemacht wer wo regiert. Und wir hatten doch die Wahl.,0,2026-03-09 16:34:02+00:00,toxic,2026-03
dUag-RGvDlQ,"es werden im Internet Bilder gezeigt, wo grüne Wahlbilder in den Wahlkabinen gezeigt werden, wo die Kreuze mit Bleistiften gemacht werden mussten.
Bleistifte kann man ja wieder wegradieren. Kugelschreiber-Kreuze nicht !!!
Deutschland ist endgültig verloren !!!!


----",0,2026-03-09 14:46:03+00:00,toxic,2026-03
dUag-RGvDlQ,Alles ist nur noch Verarsche . Wahlklamauk und Partystimmung danach wird die Auszählung der Stimmen demokratisiert .,0,2026-03-09 14:21:28+00:00,toxic,2026-03
dUag-RGvDlQ,👍 Wahlbetrug,0,2026-03-09 14:20:46+00:00,neutral,2026-03
dUag-RGvDlQ,Wahlalter bei 16 und die Backen gespreizt für Moslems .... Sowas kommt von sowas,0,2026-03-09 13:22:32+00:00,toxic,2026-03
